id,brand,model,year,miles,city_mileage,highway_mileage,horsepower,torque,engine_capacity_litre,fuel_capacity,num_cylinder,num_seat,num_owners,price,,,type,doors,wheel_drive,engine_type,speed_levels,front_headroom,front_legroom,rear_headroom,rear_legroom,service_records
47,Honda,Civic,2019,27440,32,42,174,162,1.5,12.4,4,5,1,22476,,,sedan,4,2,gas,6,37.5,42.3,36.8,37.4,13
48,Honda,Accord,2020,59090,30,38,192,192,1.5,14.8,4,5,1,21988,,,sedan,4,2,gas,6,39.5,42.3,37.3,40.4,1
49,Honda,Civic,2019,47715,30,38,158,138,2,12.4,4,5,1,22988,,,sedan,4,2,gas,6,39.3,42.3,37.1,37.4,1
50,Volkswagen,Passat,2020,9495,23,34,174,206,2,18.5,4,5,1,22999,,,sedan,4,2,gas,6,38.3,42.4,37.8,39.1,10
51,Volkswagen,Jetta,2019,13721,30,40,147,184,1.4,13.2,4,5,1,21680,,,sedan,4,2,gas,8,38.5,41.1,37.2,37.4,5
52,Honda,Civic,2018,72827,31,40,158,138,2,12.4,4,5,1,17488,,,sedan,4,2,gas,6,39.3,42.3,37.1,37.4,5
53,Hyundai,Sonata,2019,33412,23,32,245,260,2,18.5,4,5,1,22493,,,sedan,4,2,gas,8,40.4,45.5,38,35.6,10
54,Hyundai,Elantra SE,2020,13830,30,40,147,132,2,14,4,5,1,21999,,,sedan,4,2,gas,6,40.3,42.2,37.3,35.7,6
55,Ford,Fusion,2019,23507,20,29,245,275,2,14,4,5,1,21591,,,sedan,4,2,gas,6,39.2,44.3,37.8,38.3,11
56,Hyundai,Elantra SE,2020,11296,30,40,147,132,2,14,4,5,1,19542,,,sedan,4,2,gas,6,40.3,42.2,37.3,35.7,7
57,Honda,Accord,2018,82729,30,38,192,192,1.5,14.8,4,5,1,19403,,,sedan,4,2,gas,6,39.5,42.3,37.3,40.4,9
